iter	MultiClass
0	1.031127888
1	0.9780393713
2	0.9368391089
3	0.9025252083
4	0.8743285441
5	0.8514023291
6	0.8319056507
7	0.8158815156
8	0.8016177488
9	0.7882626259
10	0.7769770195
11	0.7673762927
12	0.7576699665
13	0.7490820089
14	0.7419749409
15	0.7362082477
16	0.7307805131
17	0.7264981295
18	0.7220455274
19	0.7171694474
20	0.7136937457
21	0.7111914509
22	0.7073169311
23	0.7048609843
24	0.7027150425
25	0.7009373086
26	0.6994580438
27	0.6969190229
28	0.6946337106
29	0.6931967311
30	0.6919758631
31	0.6904499606
32	0.6894174024
33	0.6883526201
34	0.6875213358
35	0.6864266081
36	0.6858906417
37	0.6849309894
38	0.6842948968
39	0.6826478219
40	0.6818262481
41	0.6812330622
42	0.6807827675
43	0.6794780804
44	0.6787585738
45	0.678172819
46	0.6778062741
47	0.6771695859
48	0.6767186217
49	0.6761093929
50	0.6758286061
51	0.6754213608
52	0.6749327826
53	0.6743894455
54	0.6733526555
55	0.6732134865
56	0.6727933871
57	0.672239035
58	0.6716840356
59	0.6706921408
60	0.6704112207
61	0.669778137
62	0.6693818168
63	0.6690545635
64	0.6685842621
65	0.6681502274
66	0.6676959894
67	0.6673372706
68	0.6670759323
69	0.6668265898
70	0.6661181539
71	0.6656173101
72	0.6652985133
73	0.6649186675
74	0.6645641538
75	0.6643917449
76	0.6640011104
77	0.6637562964
78	0.6633513024
79	0.66298141
80	0.6626103263
81	0.6622091232
82	0.6619750354
83	0.661157408
84	0.6609847904
85	0.6607886457
86	0.660609285
87	0.660084623
88	0.6599898539
89	0.6596948753
90	0.6591927518
91	0.6591226605
92	0.6588284452
93	0.6580880552
94	0.6577668879
95	0.6570774428
96	0.6565461345
97	0.6564366295
98	0.6561424387
99	0.6559331444
100	0.6557506592
101	0.6551211459
102	0.6548312293
103	0.6543169621
104	0.6539803047
105	0.6537552747
106	0.6534043962
107	0.6531274754
108	0.6527984346
109	0.6524837268
110	0.6521729556
111	0.651973365
112	0.651612355
113	0.6512482838
114	0.6509901019
115	0.6508497114
116	0.6505472271
117	0.6503363324
118	0.6501220927
119	0.6499880021
120	0.6497751261
121	0.6495999719
122	0.6491498176
123	0.6486380408
124	0.6482984348
125	0.6480051755
126	0.6477453573
127	0.6475477623
128	0.64731906
129	0.6469912023
130	0.6467920527
131	0.6464412961
132	0.64618208
133	0.6458215088
134	0.6456015938
135	0.6452129352
136	0.644962885
137	0.6447131239
138	0.644225639
139	0.6437676863
140	0.6435716434
141	0.6432874796
142	0.6430998365
143	0.6427607326
144	0.6425303883
145	0.6423001482
146	0.6420526659
147	0.6417465748
148	0.6416177565
149	0.6413720792
150	0.6412009973
151	0.6407360391
152	0.6404593306
153	0.6401978979
154	0.6400857469
155	0.6397720697
156	0.6394008949
157	0.6391793029
158	0.6388240782
159	0.6386632682
160	0.6384254296
161	0.6379972342
162	0.6376470078
163	0.6372585477
164	0.6371045302
165	0.6369825662
166	0.6367270498
167	0.6364920065
168	0.6362182169
169	0.6359991628
170	0.6358290495
171	0.6357085897
172	0.6354777672
173	0.6352938511
174	0.635063062
175	0.6346834324
176	0.6344431322
177	0.6342505065
178	0.6340287955
179	0.633863619
180	0.6335208737
181	0.6333858068
182	0.6331826311
183	0.6329565518
184	0.6328276526
185	0.6326054746
186	0.6323544985
187	0.6322322669
188	0.6319646161
189	0.6316672124
190	0.6313926449
191	0.6311448543
192	0.630812622
193	0.6306582035
194	0.6304329826
195	0.6302393566
196	0.6300875797
197	0.6297873806
198	0.6295666855
199	0.6293908294
200	0.6292366488
201	0.628989663
202	0.6288040453
203	0.6286438716
204	0.6284101516
205	0.6282640566
206	0.6281836665
207	0.6280007016
208	0.6278102102
209	0.6274748791
210	0.6272671869
211	0.627017456
212	0.626754573
213	0.6264982573
214	0.6262623209
215	0.6261183512
216	0.6257978347
217	0.6256223684
218	0.6251032703
219	0.6249547632
220	0.6248033639
221	0.6244819735
222	0.624299143
223	0.6240818828
224	0.623808091
225	0.6236247643
226	0.6233369077
227	0.6230988597
228	0.6228504232
229	0.6225507603
230	0.6223278524
231	0.6219411714
232	0.621692586
233	0.6214077582
234	0.6212543237
235	0.6209940892
236	0.6207767643
237	0.6205957973
238	0.6203704529
239	0.6202410711
240	0.6200409529
241	0.6198784777
242	0.6196020928
243	0.6193394005
244	0.6190912055
245	0.6189737311
246	0.6188168567
247	0.6183357084
248	0.6181931542
249	0.6179547673
250	0.6178655752
251	0.6175635869
252	0.6172800826
253	0.617048628
254	0.6168543607
255	0.6166880731
256	0.6164125726
257	0.6162132156
258	0.6160278034
259	0.6158463908
260	0.6156096348
261	0.6154453333
262	0.6153327901
263	0.6151707378
264	0.6149611192
265	0.6147839805
266	0.6146231486
267	0.614255117
268	0.6140523066
269	0.6138356995
270	0.6135789496
271	0.6134026041
272	0.6132527832
273	0.6130960406
274	0.6129976329
275	0.6127718475
276	0.6126700762
277	0.6124595279
278	0.6123298746
279	0.6121269977
280	0.6118960769
281	0.6117002556
282	0.6116326194
283	0.6114567089
284	0.6112383083
285	0.6110749503
286	0.6109744321
287	0.610779081
288	0.6106617874
289	0.6104164157
290	0.6103430538
291	0.6102550364
292	0.6100675929
293	0.6098222661
294	0.6097133402
295	0.609521126
296	0.6093334741
297	0.6091453736
298	0.6090321207
299	0.6088873435
300	0.6087281719
301	0.6085914297
302	0.6083920456
303	0.6082738931
304	0.6080401891
305	0.6079611037
306	0.6078213321
307	0.6075364447
308	0.6072389157
309	0.6070552047
310	0.6068773886
311	0.6067747601
312	0.6067074666
313	0.606551956
314	0.6063648885
315	0.6062063685
316	0.6061000523
317	0.6058598347
318	0.6057325214
319	0.6054378891
320	0.6052559624
321	0.605010736
322	0.604870613
323	0.6047373017
324	0.6044739268
325	0.6043564548
326	0.6041340726
327	0.6039627948
328	0.6036696195
329	0.603459549
330	0.6032918538
331	0.6032000831
332	0.6030538815
333	0.6028192003
334	0.6026434368
335	0.6023580671
336	0.602199206
337	0.6019732847
338	0.6017664352
339	0.6015630633
340	0.6014436921
341	0.6013254186
342	0.6011263467
343	0.6010038693
344	0.6008658554
345	0.6006312277
346	0.600466658
347	0.6003224433
348	0.6001265349
349	0.5999859765
350	0.5997832643
351	0.5996050165
352	0.5994530824
353	0.5992365745
354	0.5990634674
355	0.5990057394
356	0.5988860968
357	0.5987531521
358	0.5986335106
359	0.5985002355
360	0.5983162548
361	0.5981489299
362	0.5980014599
363	0.597792947
364	0.5975802549
365	0.597411478
366	0.5971631146
367	0.597017283
368	0.5969558694
369	0.5966932916
370	0.5965975398
371	0.5962404479
372	0.5960111034
373	0.59573351
374	0.5955891418
375	0.595505165
376	0.5953716788
377	0.5952144358
378	0.5950344392
379	0.5949491415
380	0.5948216831
381	0.5946777489
382	0.5944648326
383	0.5943130701
384	0.5941253273
385	0.5939885613
386	0.5938712383
387	0.5936154448
388	0.5934533737
389	0.5932641516
390	0.5930647536
391	0.592836299
392	0.5926542211
393	0.592550152
394	0.5924400207
395	0.5922857042
396	0.5920848763
397	0.5919191609
398	0.5917751153
399	0.5915889748
400	0.5913836159
401	0.5912995776
402	0.5911630307
403	0.5909471981
404	0.5907538409
405	0.5906075743
406	0.5902273621
407	0.5900344125
408	0.5898951649
409	0.5895758634
410	0.5894204617
411	0.5892822247
412	0.5891219118
413	0.589024631
414	0.5889426212
415	0.5887164669
416	0.5885605792
417	0.5884095397
418	0.588203127
419	0.5879892223
420	0.5878323273
421	0.5876005077
422	0.5874769411
423	0.5872976362
424	0.5870703131
425	0.58697341
426	0.5868125727
427	0.5866315123
428	0.5864852143
429	0.5863203491
430	0.5862047072
431	0.585989865
432	0.5858762003
433	0.5857624026
434	0.5856515859
435	0.5855836814
436	0.5854836161
437	0.5853516245
438	0.5852476177
439	0.5851560875
440	0.5850752538
441	0.5850090024
442	0.5849166393
443	0.5847487855
444	0.58464632
445	0.5844920512
446	0.5843684468
447	0.5842913685
448	0.5841915221
449	0.5841259809
450	0.5840190508
451	0.5837277892
452	0.5836162789
453	0.5834446525
454	0.5832507648
455	0.5831064885
456	0.5829626421
457	0.5828408894
458	0.5825930586
459	0.58247979
460	0.582361637
461	0.5822292869
462	0.5820929868
463	0.5820051644
464	0.5818958447
465	0.5816809733
466	0.5815280178
467	0.5813782833
468	0.581196825
469	0.5809423296
470	0.5808320037
471	0.5807300552
472	0.580535108
473	0.580294001
474	0.5801524601
475	0.5800389183
476	0.5799208731
477	0.5798079512
478	0.57969444
479	0.5796058076
480	0.579323131
481	0.5792224473
482	0.5790890907
483	0.5789634597
484	0.5787415393
485	0.5785393013
486	0.5784374192
487	0.5783088246
488	0.5781029293
489	0.5779693389
490	0.5777191268
491	0.5775473366
492	0.5774148386
493	0.5772395393
494	0.5770829262
495	0.5768667135
